start,end
2022-09-06 01:00,2022-09-06 02:00
2022-09-06 03:00,2022-09-06 04:00
2022-09-06 04:00,2022-09-06 05:00
2022-09-06 05:00,2022-09-06 06:00
2022-09-06 06:00,2022-09-06 07:00
2022-09-06 07:00,2022-09-06 08:00
2022-09-06 08:00,2022-09-06 09:00
2022-09-06 09:00,2022-09-06 10:00
2022-09-06 10:00,2022-09-06 11:00
2022-09-06 11:00,2022-09-06 12:00
2022-09-06 12:00,2022-09-06 13:00
2022-09-06 13:00,2022-09-06 14:00
2022-09-06 14:00,2022-09-06 15:00
2022-09-06 15:00,2022-09-06 16:00
2022-09-06 16:00,2022-09-06 17:00
2022-09-06 17:00,2022-09-06 18:00
2022-09-06 18:00,2022-09-06 19:00
2022-09-06 19:00,2022-09-06 20:00
2022-09-06 20:00,2022-09-06 21:00
2022-09-06 21:00,2022-09-06 22:00
2022-09-06 22:00,2022-09-06 23:00