end;AE33_BB;AE33_BC1;AE33_BC2;AE33_BC3;AE33_BC4;AE33_BC5;AE33_BC6;AE33_BC7;ComPAS_V4_BKG_Meas_Active;ComPAS_V4_Frequency_1_Hz;ComPAS_V4_Amplitude_1_uPa;ComPAS_V4_Phase_1_deg;ComPAS_V4_Integration_Time_1_us;ComPAS_V4_X1;ComPAS_V4_Y1;ComPAS_V4_Frequency_2_Hz;ComPAS_V4_Amplitude_2_uPa;ComPAS_V4_Phase_2_deg;ComPAS_V4_Integration_Time_2_us;ComPAS_V4_X2;ComPAS_V4_Y2;ComPAS_V4_Blue_60s_Mov_Avg_Mm_1;ComPAS_V4_Blue_P_Mov_Avg_deg;ComPAS_V4_Green_60s_Mov_Avg_Mm_1;ComPAS_V4_Green_P_Mov_Avg_deg;ComPAS_V4_Red_60s_Mov_Avg_Mm_1;ComPAS_V4_Red_P_Mov_Avg_deg;ComPAS_V4_T_Mean_C;ComPAS_V4_R_H_Mean_percent;ComPAS_V4_Pressure_Mean_bar;ComPAS_V4_PD1_Mean_V;ComPAS_V4_Laser_Red_On_per_Off;ComPAS_V4_Laser_Green_On_per_Off;ComPAS_V4_Laser_Blue_On_per_Off;ComPAS_V4_R1_uPa;ComPAS_V4_Theta1_deg;ComPAS_V4_R2_uPa;ComPAS_V4_Theta2_deg;SMPS3080_Export_Mass_Equivalent_diameter_nm;SMPS3080_Export_Median_nm;SMPS3080_Export_Mean_nm;SMPS3080_Export_Geo_Mean_nm;SMPS3080_Export_Mode_nm;SMPS3080_Export_Geo_Std_Dev;SMPS3080_Export_Total_Conc_1_per_cm3
2021-12-14 10:10:00;0;0;0;0;0;0;0;0;0.0;22080.999952;7.466336739;14.018660793;1000000.0;18.539232053;11.358931553;22080.999952;6.359786121;46.297061546;1000000.0;-8.614357262;-8.320534224;0.0;0.0;0.0;0.0;0.0;0.0;18.766773511;17.580580968;0.0;0.0;0.0;0.0;0.0;0.10124556422110334;31.49567594140752;0.05577029122109255;-135.99399107868464;0;0;0;0;0;0;0
2021-12-14 10:20:00;0;0;0;0;0;0;0;0;1.0;25607.480249731;13.863293261;-26.167622243;999989.264309764;1649.86026936;-991.493265993;19036.565602384;1987.246143547;38.048470056;999982.107744108;-365407.607744108;-217082.978114478;10.453210237637098;-18.182600615;9.43653139756404;-21.591250745;0.0;0.0;19.09531257;18.944239618;0.0;0.0;0.0;0.306397306;0.303030303;8.963342110360214;-31.00401097423539;1979.1850407591385;-149.28611162592028;250.74441355;97.78435;111.9045;99.31265;88.2254;1.609115;7837.015
2021-12-14 10:30:00;63.636363636;71103.272727273;93150.090909091;108238.181818182;118171.363636364;101313.0;53238.545454545;43679.909090909;0.0;27868.09296108;263.913133214;15.993225608;999981.878130217;54466.383973289;15989.83639399;17085.935779883;3477.16081796;29.688185058;999971.759599332;-648763.185308848;-369830.514190317;523.7391100482071;14.566539295;451.14396662315767;14.290465214;0.0;0.0;19.460773511;9.097271007;0.0;0.001410797;0.0;0.502504174;0.497495826;264.33249135157047;16.360792063567402;3477.4276715037536;-150.31449360752964;289.4296772;72.39085;87.29825;73.2505;72.4448;1.780145;109682.05
2021-12-14 10:40:00;99.972727273;132692.727272727;173725.727272727;201154.818181818;221597.454545455;192046.818181818;104027.181818182;85712.727272727;1.0;27879.828164599;283.683435907;-3.755751052;999981.525167785;58206.593959732;15620.833892617;17093.143741163;3519.688130735;29.593944395;999972.823825503;-657207.760067114;-373233.775167785;734.8875392161937;-1.689322547;611.7573528421035;3.221042016;0.0;0.0;19.903466443;5.138263982;0.0;0.402965282;0.0;0.503355705;0.496644295;280.63648517916664;15.022429007159502;3519.442905132687;-150.407395340835;285.5609228;71.566133333;86.345066667;72.494;70.2128;1.77851;151829.333333333
2021-12-14 10:50:00;100.0;139232.0;183203.090909091;211827.0;234775.090909091;202920.727272727;107018.090909091;87974.636363636;1.0;27894.588965603;324.579567298;-2.279099807;999982.484033614;67497.490756303;16246.263865546;17102.194716435;3475.303080546;29.568416079;999970.218487395;-649096.055462185;-368258.139495798;598.7354353811658;-21.002330644;539.1544649576232;-23.82748873;0.0;0.0;20.329289636;3.749743417;0.0;0.402310494;0.0;0.505882353;0.494117647;323.28607723642995;13.533343316206972;3475.15548752026;-150.43202522951336;281.45574485;71.216;85.8315;72.1196;67.32795;1.7767;157291.0
2021-12-14 11:00:00;63.636363636;122641.818181818;160406.636363636;186203.363636364;204879.909090909;176333.363636364;91943.909090909;75375.818181818;0.0;27909.336468092;595.752552392;14.391200561;999982.161073826;123990.369127517;31871.33557047;17111.236364706;3402.337133862;29.563470393;999967.761744966;-635489.434563758;-360467.684563758;1253.0010312026607;15.747551789;1079.643791821574;15.24043195;0.0;0.0;20.678541946;3.501508949;0.0;0.399840397;0.0;0.503355705;0.496644295;596.1445499195753;14.41561413285487;3402.144989226132;-150.43685957585072;284.4878024;70.746;85.5778;71.595733333;68.568533333;1.789773333;237269.666666667
2021-12-14 11:10:00;97.481818182;231876.909090909;302411.363636364;350146.090909091;385863.181818182;335175.363636364;182996.090909091;150875.545454545;0.0;27923.184915546;714.745523367;14.778843633;999980.825795645;148407.391959799;39174.177554439;17119.724084437;3326.338048827;29.557191543;999969.0;-621338.179229481;-352356.574539364;1583.5086147262996;15.851070083;1350.9175188678398;15.495533398;0.0;0.0;20.979809045;3.50294919;0.0;0.398243932;0.0;0.502512563;0.497487437;714.7463931568034;14.78673805941386;3326.1918421102323;-150.44272834317337;287.94742885;71.20655;86.3739;72.14555;67.32795;1.79438;271950.0
2021-12-14 11:20:00;59.727272727;153413.727272727;200727.181818182;232034.0;256503.090909091;223780.636363636;123139.454545455;101645.272727273;1.0;27939.698214522;585.690635676;13.494950005;1000132.697986577;115724.119127517;29947.954697987;17107.376558936;2681.486424629;14.661823646;999717.567114094;-469227.295302013;-248473.785234899;1647.0354095613245;16.579887863;1401.5953453871234;16.174815957;0.0;0.0;21.228708054;3.412934004;0.0;0.442253985;0.0;0.612416107;0.365771812;556.6347548859839;14.509124394348731;2472.453048243859;-152.09707019808457;290.9861265;71.331033333;86.7298;72.3658;70.3355;1.796036667;275075.333333333
2021-12-14 11:30:00;92.5;244002.090909091;317838.727272727;367898.0;405687.909090909;354172.272727273;197521.727272727;163340.636363636;1.0;27951.107887834;348.242577656;-28.318792859;999999.587248322;73876.38590604;2109.375838926;17137.813759567;3086.245630151;30.043566468;999934.327181208;-581703.258389262;-306000.86409396;836.7124058807186;45.746530593;683.4370752206823;50.537012489;0.0;0.0;21.46576566;3.617353468;0.0;0.389069237;0.0;0.503355705;0.458053691;344.15393154070875;1.6355091529975785;3060.6921728458333;-152.25370493805872;291.25151475;71.3438;86.673;72.28005;68.539;1.79866;278430.0
2021-12-14 11:40:00;59.663636364;150047.090909091;195609.636363636;225985.727272727;250270.272727273;218712.0;120632.818181818;99682.454545455;0.0;27953.475477654;724.609550744;3.619028874;999979.515050167;155178.523411371;9835.324414716;17139.894921647;3146.789870555;27.5523181;999970.096989967;-599122.727424749;-312565.038461538;1695.073968126853;4.637283123;1374.0361822853426;5.007427592;0.0;0.0;21.653267001;3.187755853;0.0;0.393871187;0.0;0.5;0.5;724.0562509934584;3.626596014273715;3146.7298653522303;-152.44874690794893;290.0577471;71.602966667;86.9955;72.5854;67.7897;1.796826667;250440.666666667
2021-12-14 11:50:00;91.372727273;126925.545454545;164364.454545455;190629.727272727;209387.545454545;182855.090909091;102198.545454545;84630.727272727;0.0;27961.536115079;390.980155021;3.811097088;999977.685618729;83684.620401338;5565.839464883;17144.833580329;3121.056937239;27.574360477;999970.951505017;-594101.142140468;-310234.172240803;947.6293790846067;5.591819136;746.5429543951626;6.859047057;0.0;0.0;21.818051282;2.482338907;0.0;0.393522492;0.0;0.498327759;0.501672241;390.54782751618745;3.8051213265123063;3120.977869886922;-152.4268490074778;287.69717785;71.55535;86.81435;72.4966;71.0497;1.795165;125368.0
2021-12-14 12:00:00;88.118181818;89364.090909091;115781.363636364;134681.636363636;149050.454545455;130641.272727273;73585.727272727;61021.363636364;0.0;27968.895942182;288.768274796;4.13907539;999979.380634391;61834.731218698;4467.853088481;17149.345127321;3095.565530514;27.567911219;999969.621035058;-589282.489148581;-307650.931552588;659.221673896001;6.483507644;506.7976064108129;8.679338688;0.0;0.0;21.943417362;2.152489705;0.0;0.393322354;0.0;0.499165275;0.500834725;288.6910592193644;4.132710302192179;3095.5197816412237;-152.43196667105326;293.7109623;69.2998;84.473166667;70.2958;65.394133333;1.801483333;102652.333333333
2021-12-14 12:10:00;90.363636364;88352.0;115798.909090909;133876.0;148899.454545455;130642.181818182;72833.545454545;60254.545454545;0.0;27975.423001214;285.973314706;5.161241069;999982.220367279;61159.752921536;5521.335559265;17153.344303207;3068.318399205;27.561387462;999968.460767946;-584126.397328881;-304865.986644407;640.4407772062976;7.515586031;491.5981471291478;9.841836628;0.0;0.0;22.048786311;2.047642738;0.0;0.39222094;0.0;0.497495826;0.502504174;285.9554846589832;5.158522951674744;3068.234122525686;-152.43914065780854;293.03968445;68.86015;84.0612;70.0031;66.1597;1.79833;101938.5
2021-12-14 12:20:00;59.381818182;57941.727272727;76084.909090909;88005.0;97699.181818182;85427.181818182;46870.363636364;38732.454545455;0.0;27980.866293075;290.043587561;6.302687067;999982.958263773;61904.921535893;6841.752921536;17156.680484568;3044.427373903;27.588875373;999971.07345576;-579441.015025042;-302783.422370618;649.9215703081801;8.680191647;499.0842414007094;10.958852194;0.0;0.0;22.130081247;1.994951586;0.0;0.391968632;0.0;0.497495826;0.502504174;290.02246648710195;6.306753629514711;3044.405358365254;-152.41095225993286;294.174998633;69.3443;84.332666667;70.2501;67.7897;1.7995;104768.0
2021-12-14 12:30:00;96.509090909;98630.818181818;128098.090909091;148852.727272727;163032.181818182;141860.727272727;77667.272727273;64148.636363636;1.0;27985.737603155;154.997035843;-26.994746036;999981.592654424;32204.879799666;2934.777963272;17159.662925417;3014.959315115;27.650047122;999972.01836394;-573470.268781302;-300439.697829716;326.34538730647404;-43.464754562;270.39695806950004;-39.84175707;0.0;0.0;22.195438509;2.260872565;0.0;0.390979103;0.0;0.495826377;0.504173623;150.5870562263866;5.20688902437472;3014.710598848179;-152.3500648598715;292.34095655;69.39005;84.51495;70.4176;65.03275;1.797635;106050.0
2021-12-14 12:40:00;92.690909091;92547.545454545;120558.181818182;139650.181818182;153855.545454545;134147.636363636;74876.181818182;61966.818181818;0.0;27988.776575268;292.435482083;7.84035848;999982.851666667;62204.921666667;8574.055;17161.526434997;3009.367926813;27.624685078;999968.24;-572590.605;-299647.411666667;626.1432481476793;10.563830207;547.7980653002809;9.91798203;0.0;0.0;22.220705;1.930341111;0.0;0.392633352;0.0;0.5;0.5;292.4029090405112;7.847949404009686;3009.3703307235346;-152.37609326433142;286.1335679;69.7659;84.499;70.6039;66.3198;1.793376667;107718.333333333
2021-12-14 12:50:00;93.018181818;94171.727272727;123527.818181818;142570.545454545;157814.909090909;137662.909090909;76630.818181818;63384.0;0.0;27991.368826173;298.21038834;8.541097983;999981.328333333;63320.491666667;9508.285;17163.114718948;2998.601586638;27.683261443;999973.581666667;-570226.726666667;-299161.81;642.4349901774929;11.306183928;560.1265304365271;10.632411953;0.0;0.0;22.234372778;1.906307778;0.0;0.391082682;0.0;0.496666667;0.503333333;298.16478579516445;8.539801764882748;2998.5705606732586;-152.3168521397681;284.50440705;70.4478;85.41795;71.31225;65.03275;1.79266;109524.5
2021-12-14 13:00:00;82.290909091;86200.363636364;112948.090909091;130364.636363636;144688.363636364;126831.909090909;70952.090909091;58740.818181818;0.0;27993.258958261;303.864698255;9.080658545;999981.401666667;64438.275;10310.778333333;17164.272551003;2990.301013322;27.657126334;999971.703333333;-568781.643333333;-298074.998333333;651.9400270859991;11.757669118;568.3252042218104;11.069336224;0.0;0.0;22.232987222;1.891884444;0.0;0.391675546;0.0;0.496666667;0.503333333;303.88113122668176;9.090844202910434;2990.2607798296845;-152.34282050750141;284.740829333;70.826633333;85.646566667;71.634266667;65.338066667;1.7902;110265.666666667
2021-12-14 13:10:00;63.4;66258.363636364;85537.363636364;99729.454545455;108903.090909091;94183.0;50364.818181818;41453.272727273;0.0;28005.368471195;197.006799716;-4.315130391;1000218.67114094;38769.494966443;-949.447986577;17147.903258334;2068.294867857;10.9469027;999575.124161074;-358983.13590604;-167874.958053691;667.2888467327921;9.528791899;514.7917261443177;3.354506363;0.0;0.0;22.237054251;1.883958613;0.0;0.409869031;0.0;0.604026846;0.239932886;180.5886580001725;-1.4028681911545164;1845.3992512303482;-154.93731775385623;286.65604735;71.17525;86.11765;71.92215;66.1597;1.794495;110160.0
2021-12-14 13:20:00;93.572727273;99939.909090909;129049.454545455;149815.181818182;164517.818181818;143391.909090909;79848.818181818;66050.545454545;0.0;27990.427084615;308.920334965;-7.874364632;999981.363333333;65730.038333333;-9078.695;17165.424644048;2983.23669531;26.841774847;999974.666666667;-571618.061666667;-289257.063333333;653.1724205280744;-6.488830058;569.9910479181576;-6.280062091;0.0;0.0;22.241118333;1.878981111;0.0;0.392873934;0.0;0.501666667;0.498333333;308.98514765046514;-7.8639909432036434;2983.2024675012126;-153.1591273591855;290.868710533;72.0909;87.1655;72.852233333;66.924266667;1.79388;113866.0
2021-12-14 13:30:00;89.990909091;173110.727272727;226419.818181818;261080.818181818;289460.454545454;253887.818181818;142613.727272727;118017.363636364;0.0;27991.740947842;539.068521761;-6.421970719;999986.632279534;115150.266222962;-12838.166389351;17166.230034338;2970.184553502;26.872143118;999973.806988353;-568963.830282862;-288301.936772047;1125.0336160983013;-5.640899621;957.4531278560173;-5.617482132;0.0;0.0;22.247150305;2.271369939;0.0;0.394702189;0.0;0.505823627;0.494176373;539.5325044471604;-6.3616659113643665;2970.16658615764;-153.1280290619047;294.9114888;72.5752;87.83575;73.3212;71.09575;1.79656;199831.5
2021-12-14 13:40:00;59.981818182;146178.454545455;190449.272727273;220598.090909091;243030.454545455;212278.909090909;116754.090909091;96296.454545455;0.0;27992.834908038;675.24901714;-5.609119498;999976.457570716;144326.252911814;-14135.410981697;17166.899428047;2960.728133953;26.941530404;999958.051580699;-566799.906821963;-288066.384359401;1500.756511898803;-4.790359172;1265.487677287079;-5.07102706;0.0;0.0;22.250386023;2.555636717;0.0;0.391316617;0.0;0.500831947;0.499168053;675.2871754159393;-5.593747206349815;2960.6844845743144;-153.0588226149304;292.3027427;74.823566667;90.3053;75.578766667;70.2128;1.791536667;228054.333333333
